type,stem,analysis,answer,score
determine,<p>$$\sin\alpha+\cos\beta$$</p>,<p>$$\sin\alpha+\cos\beta$$</p>,1,2
determine,<p>$$\sin\beta-\cos\beta$$</p>,<p>$$\sin\beta-\cos\beta$$</p>,1,2
determine,<p>$$\tan\gamma\times\log\delta$$</p>,<p>$$\tan\gamma\times\log\delta$$</p>,1,2
determine,<p>$$\tan\alpha$$=$$\sin\alpha\div\cos\alpha$$</p>,<p>$$\tan\alpha$$=$$\sin\alpha\div\cos\alpha$$</p>,1,2
determine,<p>$$\delta$$²âÊÔ</p>,<p>$$\delta$$²âÊÔ</p>,1,2
determine,<p>$$\epsilon$$²âÊÔ</p>,<p>$$\epsilon$$²âÊÔ</p>,1,2
determine,<p>$$\varepsilon$$²âÊÔ</p>,<p>$$\varepsilon$$²âÊÔ</p>,1,2
determine,<p>$$\zeta$$²âÊÔ</p>,<p>$$\zeta$$²âÊÔ</p>,1,2
determine,<p>$$\eta$$²âÊÔ</p>,<p>$$\eta$$²âÊÔ</p>,1,2
determine,<p>$$\theta$$²âÊÔ</p>,<p>$$\theta$$²âÊÔ</p>,1,2
determine,<p>$$\vartheta$$²âÊÔ</p>,<p>$$\vartheta$$²âÊÔ</p>,1,2
determine,<p>$$\iota$$²âÊÔ</p>,<p>$$\iota$$²âÊÔ</p>,1,2
determine,<p>$$\kappa$$²âÊÔ</p>,<p>$$\kappa$$²âÊÔ</p>,1,2
determine,<p>$$\lambda$$²âÊÔ</p>,<p>$$\lambda$$²âÊÔ</p>,1,2
determine,<p>$$\mu$$²âÊÔ</p>,<p>$$\mu$$²âÊÔ</p>,1,2
determine,<p>$$\nu$$²âÊÔ</p>,<p>$$\nu$$²âÊÔ</p>,1,2
determine,<p>$$\xi$$²âÊÔ</p>,<p>$$\xi$$²âÊÔ</p>,1,2
determine,<p>$$\pi\varpi&gt;$$²âÊÔ</p>,<p>$$\pi\varpi&gt;$$²âÊÔ</p>,1,2
determine,<p>$$\rho&lt;\varrho$$²âÊÔ</p>,<p>$$\rho&lt;\varrho$$²âÊÔ</p>,1,2
determine,<p>$$\sigma\geq\varsigma$$²âÊÔ</p>,<p>$$\sigma\geq\varsigma$$²âÊÔ</p>,1,2
determine,<p>$$\tau\leq\upsilon$$²âÊÔ</p>,<p>$$\tau\leq\upsilon$$²âÊÔ</p>,1,2
determine,<p>$$\phi\neq\varphi$$²âÊÔ</p>,<p>$$\phi\neq\varphi$$²âÊÔ</p>,1,2
determine,<p>$$\chi\pm\psi$$²âÊÔ</p>,<p>$$\chi\pm\psi$$²âÊÔ</p>,1,2
determine,<p>$$\omega\%\Delta$$²âÊÔ</p>,<p>$$\omega\%\Delta$$²âÊÔ</p>,1,2
determine,<p>$$\Theta$$²âÊÔ</p>,<p>$$\Theta$$²âÊÔ</p>,1,2
determine,<p>$$\Lambda$$²âÊÔ</p>,<p>$$\Lambda$$²âÊÔ</p>,1,2
determine,<p>$$\Xi$$²âÊÔ</p>,<p>$$\Xi$$²âÊÔ</p>,1,2
determine,<p>$$\Pi$$²âÊÔ</p>,<p>$$\Pi$$²âÊÔ</p>,1,2
determine,<p>$$\Sigma(\alpha_i\beta_j+\mu\nu)$$²âÊÔ</p>,<p>$$\Sigma(\alpha_i\beta_j+\mu\nu)$$²âÊÔ</p>,1,2
determine,<p>$$\Upsilon(\alpha¡ú\beta)$$²âÊÔ</p>,<p>$$\Upsilon(\alpha¡ú\beta)$$²âÊÔ</p>,1,2
determine,<p>$$(\frac{\sin\alpha}{\cos\alpha})^2=\frac{\sin^2\alpha}{\cos^2\alpha}$$²âÊÔ</p>,<p>$$(\frac{\sin\alpha}{\cos\alpha})^2=\frac{\sin^2\alpha}{\cos^2\alpha}$$²âÊÔ</p>,1,2
determine,<p>$$\Omega:\Omega:\Psi:\Phi$$²âÊÔ</p>,<p>$$\Omega:\Omega:\Psi:\Phi$$²âÊÔ</p>,1,2
determine,<p>$$\left\{¢Ù¢Ú¢Û¢Ü¢İ¢Ş\right\}$$²âÊÔ</p>,<p>$$\left\{¢Ù¢Ú¢Û¢Ü¢İ¢Ş\right\}$$²âÊÔ</p>,1,2
determine,<p>$$@$$²âÊÔ</p>,<p>$$@$$²âÊÔ</p>,1,2
determine,<p>$$#$$²âÊÔ</p>,<p>$$#$$²âÊÔ</p>,1,2
determine,<p>$$£¤$$²âÊÔ</p>,<p>$$£¤$$²âÊÔ</p>,1,2
determine,<p>$$&amp;$$²âÊÔ</p>,<p>$$&amp;$$²âÊÔ</p>,1,2
determine,<p>$$\alpha*\beta$$²âÊÔ</p>,<p>$$\alpha*\beta$$²âÊÔ</p>,1,2
determine,<p>$$\left[\tan\theta\right]¡ú\infty$$²âÊÔ</p>,<p>$$\left[\tan\theta\right]¡ú\infty$$²âÊÔ</p>,1,2
determine,<p>$$\epsilon¡ú\infty$$²âÊÔ</p>,<p>$$\epsilon¡ú\infty$$²âÊÔ</p>,1,2
